title	question	context	answer	linkki
squad_v2_1	Mikä termi luonnehtii riittien ja roomalaiskatolisen kirkon risteytymistä?	Roomalaiskatolisen kirkon kanoninen laki sisältää myös viisi tärkeintä riittiä (ryhmää), jotka ovat täydessä liitossa roomalaiskatolisen kirkon ja korkeimman paavin kanssa:	None	
squad_v2_2	Mistä Alexandria tunnettiin?	Aleksandria oli Athanasiuksen nuoruusvuosina koko valtakunnan tärkein kauppakeskus. Intellektuaalisesti, moraalisesti ja poliittisesti se 'edusti etnisesti monimuotoista kreikkalais-roomalaista maailmaa jopa enemmän kuin Rooma tai Konstantinopoli, Antiokia tai Marseille. Sen kuuluisa katekeettinen koulu, joka ei ollut menettänyt mitään kuuluisasta intohimostaan ortodoksisuuden puolesta Pantaenoksen, Klemens Aleksandrialaisen, Origenes Aleksandrialaisen, Dionysioksen ja Theognostoksen ajoista lähtien, oli alkanut saada lähes maallisen luonteen kiinnostuksen kohteidensa laajuudessa, ja sen vakavasti otettaviin kuulijoihin kuului vaikutusvaltaisia pakanoita.	Koko valtakunnan tärkein kauppakeskus	
squad_v2_3	Miten Jehovan todistajien johtajat kasvattavat kyseenalaistamattoman kuuliaisuuden järjestelmää?	"Entiset jäsenet Heather ja Gary Botting vertaavat uskonnon kulttuuriparadigmoja George Orwellin teokseen Nineteen Eighty Four, ja Alan Rogerson kuvailee uskonnon johtoa totalitaristiseksi. Muut kriitikot syyttävät, että väheksymällä yksilöllistä päätöksentekoa uskonnon johtajat kasvattavat kyseenalaistamattoman kuuliaisuuden järjestelmää, jossa todistajat luopuvat kaikesta vastuusta ja oikeuksista henkilökohtaiseen elämäänsä. Kriitikot syyttävät uskonnon johtajia myös siitä, että he harjoittavat ""älyllistä ylivaltaa"" todistajiin nähden, kontrolloivat tietoa ja luovat ""henkistä eristystä"", minkä entinen hallintoneuvoston jäsen Raymond Franz väitti olevan kaikki mielenhallinnan elementtejä."	väheksymällä yksilöllistä päätöksentekoa	
squad_v2_4	Mitkä ovat yleisimmät elintarvikkeet Virossa?	Historiallisesti Viron keittiö on ollut vahvasti riippuvainen vuodenajoista ja yksinkertaisesta talonpoikaisruoasta, johon nykyään vaikuttavat monet maat. Nykyään se sisältää monia tyypillisiä kansainvälisiä ruokia. tyypillisimpiä virolaisia ruokia ovat musta leipä, sianliha, perunat ja maitotuotteet. Perinteisesti kesällä ja keväällä virolaiset syövät mielellään kaikkea tuoretta - marjoja, yrttejä, vihanneksia ja kaikkea muuta suoraan puutarhasta tulevaa. Myös metsästys ja kalastus ovat olleet hyvin yleisiä, vaikka nykyään metsästystä ja kalastusta harrastetaankin lähinnä harrastuksina. Nykyään on myös hyvin suosittua grillata ulkona kesäisin.	musta leipä, sianliha, perunat ja maitotuotteet.	
squad_v2_5	Mistä valmistettiin keskiaikainen huilu?	Monet keskiaikaisen musiikin esittämiseen käytetyistä soittimista ovat edelleen olemassa, mutta eri muodoissa. Keskiaikaisiin soittimiin kuuluivat muun muassa puuhuilu (joka 2000-luvulla on valmistettu metallista), puhallin ja luuttun kaltaiset jousisoittimet. Myös uruista, viulusta (tai viulusta) ja pasuunasta (jota kutsuttiin säkkibutiksi) oli olemassa varhaisia versioita. Keskiaikaisia soittimia käytettiin Euroopassa yleisimmin yksinään, usein yksinään säestettynä soittimella, tai toisinaan osissa. Ainakin 1200-luvulta 1400-luvulle asti soittimet oli jaettu haut-soittimiin (kovaääniset, kirskuvat, ulkona käytettävät soittimet) ja bas-soittimiin (hiljaisemmat, intiimimmät soittimet).	puuhuilu	
squad_v2_6	Mitä käytettiin vuosiluvun määrittämiseen?	"Ennen vuotta 1917 Turkki käytti yleisiin tarkoituksiin islamilaista kuukalenteria, johon kuului Hegira-aika, ja verotustarkoituksiin juliaanista kalenteria. Verovuoden alkamisajankohdaksi vahvistettiin lopulta 1. maaliskuuta, ja vuosiluku vastasi suurin piirtein Hegira-vuotta (ks. Rumin kalenteri). Koska aurinkovuosi on pidempi kuin kuuvuosi, tämä johti alun perin siihen, että silloin tällöin käytettiin ""pakovuosia"", jolloin verovuoden numero hyppäsi. Maaliskuun 1. päivästä 1917 lähtien verovuodesta tuli gregoriaaninen eikä juliaaninen. Tammikuun 1. päivänä 1926 gregoriaanisen kalenterin käyttöä laajennettiin yleiseen käyttöön, ja vuoden numero muuttui samaksi kuin muissa maissa."	None	
squad_v2_7	Missä keisarillinen perhe asui?	"Bushi oli nimi, joka annettiin perinteisistä soturisuvuista peräisin oleville muinaisille japanilaisille sotilaille. Bushi-luokka kehittyi pääasiassa Japanin pohjoisosissa. He muodostivat voimakkaita klaaneja, jotka 1200-luvulla vastustivat aatelissukuja, jotka ryhmittyivät tukemaan Kiotossa asuvaa keisarillista perhettä. Samurai oli kuge-aristokraattiluokan käyttämä sana, ja soturit itse käyttivät mieluummin sanaa bushi. Termi Bushid?, ""soturin tie"", on johdettu tästä termistä, ja soturin kartanoa kutsuttiin bukeyashikiksi."	Kiotossa	
squad_v2_8	Mikä oli osa piispakunnan aluetta?	"Kun frankkien hallitsijat perustivat feodaalijärjestelmän, Utrechtin piispat alkoivat käyttää maallista valtaa ruhtinaspiispoina. Piispakunnan alueeseen ei kuulunut ainoastaan nykyinen Utrechtin maakunta (Nedersticht, ""alempi Sticht""), vaan se ulottui myös koilliseen. Keskiajan feodaalikonfliktit vaikuttivat voimakkaasti Utrechtiin. Ruhtinaskunnan piispanistuin joutui lähes jatkuviin konflikteihin Hollannin kreivien ja Gueldersin herttuoiden kanssa. Veluwen alue joutui Gueldersin haltuun, mutta suuret alueet nykyisessä Overijsselin maakunnassa jäivät Overstichtin alueeksi."	"Piispakunnan alueeseen ei kuulunut ainoastaan nykyinen Utrechtin maakunta (Nedersticht, ""alempi Sticht""), vaan se ulottui myös koilliseen."	
squad_v2_9	Mikä oli Au Bon Marchen voiton muutos näiden muutosten jälkeen?	"Au Bon Marché -niminen uutuuskauppa oli perustettu Pariisiin vuonna 1838 myymään pitsejä, nauhoja, lakanoita, patjoja, nappeja, sateenvarjoja ja muita erilaisia tavaroita. Alun perin siinä oli neljä osastoa, kaksitoista työntekijää ja kolmesataa metriä lattiapinta-alaa. Yrittäjä Aristide Boucicaut tuli osakkaaksi vuonna 1852 ja muutti markkinointisuunnitelmaa ottamalla käyttöön kiinteät hinnat ja takuut, jotka mahdollistivat vaihdot ja palautukset, mainonnan ja paljon laajemman tavaravalikoiman. Kaupan vuositulot kasvoivat 500 000 frangista vuonna 1852 viiteen miljoonaan frangiin vuonna 1860. Vuonna 1869 hän rakensi paljon suuremman rakennuksen osoitteeseen 24 rue de Sèvres vasemman rannan varrelle ja laajensi myymälää uudelleen vuonna 1872 Eiffel-tornin luoneen Gustave Eiffelin insinööritoimiston avustuksella. Tulot nousivat vuoden 1870 kahdestakymmenestä miljoonasta frangista 72 miljoonaan frangiin Boucicaut'n kuollessa vuonna 1877. Pinta-ala oli kasvanut vuoden 1838 kolmesadasta neliömetristä viiteenkymmeneen tuhanteen, ja työntekijöiden määrä oli kasvanut vuoden 1838 kahdestatoista 1788 työntekijään vuonna 1879. Boucicaut oli kuuluisa markkinointi-innovaatioistaan: lukuhuone aviomiehille, kun heidän vaimonsa tekivät ostoksia, laaja sanomalehtimainonta, lapsille suunnattu viihde ja kuusi miljoonaa asiakkaille lähetettyä luetteloa. Vuoteen 1880 mennessä puolet työntekijöistä oli naisia; naimattomat naispuoliset työntekijät asuivat ylemmissä kerroksissa sijaitsevissa asuntoloissa."	Kaupan vuositulot kasvoivat 500 000 frangista vuonna 1852 viiteen miljoonaan frangiin vuonna 1860.	
squad_v2_10	Mistä löytyy ARM-arkkitehtuurin tietokone?	Konekielet ja niitä edustavat assembler-kielet (joita kutsutaan yhteisesti matalan tason ohjelmointikieliksi) ovat yleensä vain tietyntyyppisille tietokoneille ominaisia. Esimerkiksi ARM-arkkitehtuurilla varustettu tietokone (kuten kämmentietokoneessa tai kannettavassa videopelissä) ei ymmärrä Intel Pentiumin tai AMD Athlon 64 -tietokoneen konekieltä, joka saattaa olla PC:ssä.	None	
